iso3,link,text,date
AUS,https://www.theguardian.com/australia-news/2020/sep/23/labor-commits-to-environmentally-sustainable-gas-development?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,Labor commits to 'environmentally sustainable' gas development,September 2020
CHN,https://www.bbc.com/news/science-environment-54256826?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,Climate change: China aims for 'carbon neutrality by 2060',September 2020
CHN,https://www.carbonbrief.org/analysis-chinas-covid-stimulus-plans-for-fossil-fuels-three-times-larger-than-low-carbon?utm_campaign=Feed%3A%20carbonbrief%20%28The%20Carbon%20Brief%29&utm_medium=feed&utm_source=feedburner,"Analysis: China’s Covid stimulus plans for fossil fuels three times larger than low-carbon: China’s main energy-consuming and producing provinces are directing the equivalent of hundreds of billions of dollars into fossil fuel projects, analysis of spending plans reveals.",23 September 2020
DEU,https://www.bmwi.de/Redaktion/DE/Pressemitteilungen/2020/09/20200923-altmaier-eeg-novelle-2021-klares-zukunftssignal-fuer-mehr-klimaschutz-und-mehr-erneuerbare.html,"Altmaier: 'EEG Novelle 2021 klares Zukunftssignal für mehr Klimaschutz und mehr Erneuerbare'",23 September 2020
EARTH,https://uk.reuters.com/article/us-climate-change-china/chinas-carbon-neutral-pledge-could-curb-global-warming-by-0-3c-researchers-idUKKCN26E325?utm_campaign=Carbon%20Brief%20Daily%20Briefing&utm_medium=email&utm_source=Revue%20newsletter,"China's carbon neutral pledge could curb global warming by 0.3$^{\circ}$C~- researchers",23 September 2020
EARTH,https://dataservices.gfz-potsdam.de/pik/showshort.php?id=escidoc:4736895,The PRIMAP-hist national historical emissions time series (1850-2017),2019
EARTH,https://zenodo.org/record/3638137#.X2sqPIuxU2w,Country resolved combined emission and socio-economic pathways based on the RCP and SSP scenarios,February 2020
EARTH,https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=about,SSP Database (Shared Socioeconomic Pathways) - Version 2.0,December 2018
EARTH,https://climateactiontracker.org/,Climate Action Tracker,
EARTH,https://www.carbonbrief.org/,CarbonBrief: Clear on Climate,
EARTH,https://www.climatewatchdata.org/,CLIMATEWATCH,
EARTH,https://ndcpartnership.org/,NDC PARTNERSHIP,
EARTH,https://klimalog.die-gdi.de/ndc/#NDCExplorer/worldMap?NDC??income???catIncome,NDC Explorer,
